timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
27/06/2015 14:00,2964,23.5,22.5,38.5,19.0,1,0,1,1
12/05/2016 18:00,4141,21.5,21.0,48.5,19.5,1,0,0,0
11/09/2016 20:00,1226,17.5,17.5,55.5,9.0,1,0,1,2
12/07/2016 18:00,3558,16.5,16.5,80.0,15.0,2,0,0,1
18/06/2016 07:00,333,14.0,14.0,82.0,11.0,4,0,1,1
07/01/2015 13:00,982,9.5,6.0,71.5,28.0,2,0,0,3
15/05/2016 20:00,1305,15.0,15.0,45.0,13.0,1,0,1,0
11/06/2016 16:00,2389,18.0,18.0,80.5,8.0,7,0,1,1
29/01/2015 10:00,811,5.5,1.0,68.0,27.0,2,0,0,3
19/06/2015 22:00,1024,17.5,17.5,60.0,14.0,4,0,0,1
30/10/2016 01:00,932,10.33333333,10.33333333,98.0,2.666666667,2,0,1,2
27/06/2016 06:00,612,16.5,16.5,91.0,16.0,3,0,0,1
04/03/2016 11:00,876,8.0,4.0,48.0,25.0,2,0,0,0
16/01/2015 17:00,2348,5.5,2.5,76.0,14.0,2,0,0,3
07/12/2016 17:00,3011,13.0,13.0,77.0,14.0,1,0,0,3
19/11/2016 12:00,1876,8.0,5.0,66.0,19.0,1,0,1,2
22/09/2015 16:00,1735,14.5,14.5,70.0,17.0,2,0,0,2
31/08/2015 21:00,421,15.0,15.0,88.0,12.0,3,1,0,1
21/07/2015 23:00,618,19.0,19.0,64.0,20.0,2,0,0,1
29/03/2015 08:00,142,10.0,8.0,91.0,15.0,7,0,1,0
18/01/2016 12:00,796,4.5,1.0,72.5,16.0,2,0,0,3
05/05/2015 11:00,832,14.0,14.0,61.0,38.0,2,0,0,0
11/12/2015 19:00,1142,9.0,6.0,71.0,21.0,2,0,0,3
01/04/2016 08:00,3485,6.0,4.0,78.5,8.0,1,0,0,0
18/06/2015 23:00,856,16.0,16.0,55.0,18.5,1,0,0,1
06/11/2015 04:00,55,15.0,15.0,82.0,18.5,3,0,0,2
24/02/2015 00:00,105,6.0,1.5,76.0,29.0,3,0,0,3
27/04/2015 08:00,4437,7.0,5.0,68.5,10.0,1,0,0,0
31/08/2015 09:00,310,16.0,16.0,88.0,11.0,3,1,0,1
01/03/2015 01:00,226,11.0,11.0,77.0,29.0,3,0,1,0
14/02/2015 02:00,160,7.0,5.0,90.0,11.0,7,0,1,3
20/10/2016 23:00,465,10.0,8.0,88.0,14.0,1,0,0,2
19/08/2016 00:00,389,18.0,18.0,83.0,11.0,2,0,0,1
15/09/2015 15:00,1122,18.5,18.5,62.0,23.5,2,0,0,2
05/07/2015 17:00,2771,22.0,21.0,47.0,26.0,2,0,1,1
13/05/2015 10:00,1180,16.0,16.0,45.0,9.0,1,0,0,0
07/10/2016 13:00,1510,14.0,14.0,77.0,13.0,3,0,0,2
26/06/2015 09:00,2266,20.5,20.5,47.5,6.5,1,0,0,1
29/10/2016 14:00,2491,16.0,16.0,74.5,2.0,4,0,1,2
18/08/2015 10:00,1100,16.0,16.0,65.5,18.0,1,0,0,1
10/08/2015 20:00,1689,20.5,20.5,75.5,17.0,2,0,0,1
18/06/2016 10:00,1517,15.0,15.0,77.0,13.0,3,0,1,1
30/04/2015 10:00,1126,12.5,12.5,52.5,26.0,2,0,0,0
03/02/2015 14:00,706,4.0,0.5,78.0,17.0,2,0,0,3
26/10/2016 00:00,235,11.0,11.0,94.0,2.0,2,0,0,2
13/03/2016 00:00,372,5.0,4.5,93.0,5.0,3,0,1,0
24/09/2015 06:00,527,16.0,16.0,88.0,16.0,3,0,0,2
16/07/2016 21:00,1307,22.5,22.5,67.0,23.0,1,0,1,1
28/11/2016 05:00,131,8.0,5.5,64.0,14.0,3,0,0,2
19/10/2015 18:00,3330,13.5,13.5,69.5,6.0,3,0,0,2
10/08/2015 04:00,63,18.0,18.0,83.0,17.0,4,0,0,1
25/02/2016 18:00,2424,5.0,4.0,51.0,6.0,2,0,0,3
10/02/2016 17:00,2691,8.0,5.0,62.0,17.0,2,0,0,3
22/12/2015 02:00,84,13.5,13.5,91.0,19.5,3,0,0,3
07/10/2016 01:00,170,14.0,14.0,67.0,18.0,4,0,0,2
22/04/2015 08:00,4443,8.5,6.5,76.5,14.0,1,0,0,0
24/10/2015 07:00,242,13.0,13.0,74.5,6.5,3,0,1,2
16/02/2016 07:00,1740,0.0,-2.0,93.0,6.0,1,0,0,3
07/01/2016 00:00,111,7.0,4.0,87.0,15.0,2,0,0,3
30/06/2016 04:00,43,14.0,14.0,94.0,11.0,7,0,0,1
23/10/2015 23:00,635,12.5,12.5,69.5,9.0,4,0,0,2
04/07/2016 12:00,1641,20.5,20.5,53.0,17.0,2,0,0,1
13/12/2015 13:00,1128,9.0,8.0,94.0,8.0,3,0,1,3
31/01/2015 16:00,795,5.0,0.0,70.0,29.0,3,0,1,3
04/09/2015 10:00,1068,15.5,15.5,63.0,14.0,2,0,0,2
24/05/2016 06:00,876,10.0,9.0,79.0,8.0,1,0,0,0
04/05/2015 11:00,1880,16.0,16.0,48.0,14.0,1,1,0,0
09/12/2016 22:00,670,12.0,12.0,88.0,15.0,4,0,0,3
06/06/2015 15:00,2969,19.5,19.5,36.0,27.0,1,0,1,1
11/04/2016 00:00,107,11.0,11.0,77.0,15.0,7,0,0,0
29/01/2016 20:00,693,12.5,12.5,79.5,36.0,3,0,0,3
